Ticker,Company_Name,IPO_Date,Notes
OKTA,Okta,2017-04-07,
AYX,Alteryx,2017-03-24,
MDB,MongoDB,2017-10-19,
YEXT,Yext,2017-04-13,
MULE,MuleSoft,2017-03-17,Acquired 2018
APTI,Apptio,2016-09-23,
DBX,Dropbox,2018-03-23,
ZS,Zscaler,2018-03-16,
DOCU,DocuSign,2018-04-27,
ZUO,Zuora,2018-04-12,
ESTC,Elastic,2018-10-05,
PVTL,Pivotal,2018-04-20,Acquired 2019
SVMK,SurveyMonkey,2018-09-26,Acquired
SMAR,Smartsheet,2018-04-27,
CBLK,Carbon Black,2018-05-04,Acquired 2019
PLAN,Anaplan,2018-10-12,Acquired 2022
PS,Pluralsight,2018-05-17,Acquired 2021
DOMO,Domo,2018-06-29,
ZM,Zoom,2019-04-18,
PD,PagerDuty,2019-04-11,
WORK,Slack,2019-06-20,Acquired 2021
CRWD,CrowdStrike,2019-06-12,
DDOG,Datadog,2019-09-19,
NET,Cloudflare,2019-09-13,
DT,Dynatrace,2019-08-01,
FSLY,Fastly,2019-05-17,
MDLA,Medallia,2019-07-19,Acquired 2021
PING,Ping Identity,2019-09-19,
BILL,Bill.com,2019-12-12,
SNOW,Snowflake,2020-09-16,
PLTR,Palantir,2020-09-29,Direct listing
ASAN,Asana,2020-09-30,Direct listing
U,Unity,2020-09-18,
FROG,JFrog,2020-09-16,
SUMO,Sumo Logic,2020-09-17,
NCNO,nCino,2020-07-14,
BIGC,BigCommerce,2020-08-05,
JAMF,Jamf,2020-07-22,
AI,C3.ai,2020-12-09,
ZI,ZoomInfo,2020-06-04,
GOTO,GoTo Group,2020-05-01,
PATH,UiPath,2021-04-21,
AMPL,Amplitude,2021-09-28,TARGET COMPANY
TOST,Toast,2021-09-22,
GTLB,GitLab,2021-10-14,
HCP,HashiCorp,2021-12-09,Acquired 2024
MNDY,monday.com,2021-06-10,
CFLT,Confluent,2021-06-24,
S,SentinelOne,2021-06-30,
FRSH,Freshworks,2021-09-22,
DOCN,DigitalOcean,2021-03-24,
MQ,Marqeta,2021-06-09,
COUR,Coursera,2021-03-31,
OLO,Olo,2021-03-17,
KLTR,Kaltura,2021-07-21,
CXM,Sprinklr,2021-06-23,
PCOR,Procore,2021-05-20,
